Sum of GDP,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,Grand Total
DNK,130796.7322,132497.6482,135115.0869,134994.017,142452.8559,146819.5222,150981.1845,155810.2449,159176.2217,163252.0873,169012.6876,170203.9459,170996.7211,171652.9434,175595.0501,179888.4924,185995.3061,188939.9828,187459.0881,176837.0645,179289.6619,181210.25,180560.1976,181275.4415,183857.321,187090.8651,190457.8382,193707.8998,196912.01,200179.5845,203586.898,207171.5216,210943.559,214899.1922,219030.3232,223327.9261,227785.6213,232399.0466,237161.0804,242061.3574,247090.8776,252244.0338,257517.7006,262909.968,268419.6332,274047.5811,279796.1158,285667.8924,291664.7159,297785.6161,304029.0816,310396.2108,316890.5027,323512.8617,330258.6058,337119.2435,344086.1299,351152.0876,358308.6807,365546.2385,372854.1871,380223.4171,387646.3172,395115.522,402625.3786,410171.1662,417752.1877,425371.1195,433030.6919,440733.4884,448482.241,17893833.97
EA15,,,,,,7644645.536,7765078.74,7974670.779,8194931.802,8428635.111,8763889.426,8944585.097,9032555.279,9105837.7,9289079.334,9460934.952,9783777.326,10080006.67,10109300.57,9663755.873,9844320.406,9999808.321,9935253.318,9895945.534,10015340.41,10182211.47,10394717.46,10611402.1,10822085.73,11029494.94,11238345.63,11450810.36,11668215.55,11891175.99,12120040.73,12354723.62,12594584.75,12837267.05,13081166.04,13325856.5,13571050.01,13816506.06,14061956.35,14307056.34,14551465.77,14794835,15036948.53,15277910.64,15517864.85,15756886.25,15995090.12,16232783.41,16470472.72,16708627.26,16947633.52,17187846.59,17429695.52,17673703.91,17920272.28,18169617.33,18421865,18677202.7,18935919.41,19198150.47,19463768.16,19732482.93,20004083.56,20278523.95,20555657.73,20835191.79,21116817.46,894182335.7
ESP,768408.1,787948.74,795281.918,787078.6699,805828.681,828055.1896,848349.0897,881258.2258,920632.4957,964209.0147,1012504.128,1049657.268,1078104.895,1111412.317,1147636.582,1188763.816,1237220.47,1280265.672,1291681.74,1242179.791,1239679.74,1240303.372,1219944.338,1205029.923,1217466.232,1236106.728,1265165.827,1293388.28,1318377.713,1341135.435,1363052.143,1385185.606,1408242.005,1432694.585,1458900.442,1487043.769,1517065.95,1548222.747,1579856.119,1611925.415,1644390.367,1677199.825,1710283.983,1743549.933,1776903.413,1810014.252,1842579.543,1874534.461,1905864.845,1936608.021,1966839.156,1996672.335,2026254.087,2055719.177,2085184.502,2114764.049,2144587.423,2174804.304,2205532.708,2236825.176,2268704.98,2301203.976,2334387.656,2368305.54,2402958.907,2438332.007,2474434.438,2511323.448,2549051.397,2587648.904,2627147.068,113187873.1
EST,,,,,,11404.10503,12075.79495,13493.05332,14411.88842,14372.79566,15766.55079,16756.94944,17856.27713,19242.88611,20463.431,22275.16017,24524.35957,26361.77459,25267.40366,21705.11945,22261.85379,24389.62502,25350.3097,25560.88111,25863.47427,26655.39691,27830.12586,29057.67171,30239.17424,31361.16724,32429.76057,33452.9684,34438.17044,35392.51039,36324.01694,37241.51784,38138.99491,39021.62226,39899.02833,40778.92579,41667.64857,42570.26347,43490.30475,44429.74418,45389.04086,46367.56698,47363.75194,48375.0621,49398.41639,50430.38514,51467.41304,52506.05274,53542.48058,54572.77996,55593.75269,56602.84805,57598.42803,58579.74624,59546.86572,60501.26118,61445.29792,62382.15745,63315.36914,64247.99655,65182.1982,66119.45396,67061.38703,68009.8306,68965.79573,69928.61387,70896.99699,2659213.655
FIN,115318.9275,108399.9416,104622.2544,103773.0235,107564.6149,111826.8129,115819.4817,123006.9273,129194.3339,134243.7283,141390.5306,144619.5333,147272.043,150235.7947,156433.8969,160994.5023,168096.383,177064.6465,177584.4529,162421.2958,167883.5405,172625.9711,170885.7964,168527.4158,168893.8047,170831.778,175733.386,181224.7075,186707.7405,192081.5779,197326.0334,202448.8118,207460.1986,212368.0964,217183.173,221920.7995,226600.9654,231249.6385,235887.6163,240525.6483,245170.3447,249826.691,254498.8254,259186.7532,263884.8653,268586.1322,273284.0773,277974.7001,282655.8123,287325.5368,291983.1793,296631.22,301275.451,305920.7824,310572.263,315234.9333,319914.5201,324616.5997,329344.1232,334098.828,338880.6649,343689.2278,348524.5313,353383.8116,358262.4046,363153.1962,368050.1279,372950.6224,377852.2921,382754.7673,387660.4023,16475397.51
FRA,1414492.539,1429601.927,1449151.748,1439762.939,1471619.259,1503268.72,1519130.815,1551983.526,1604847.429,1655882.091,1719773.432,1750761.16,1767184.266,1782729.033,1824452.863,1858219.653,1908124.711,1950945.654,1947164.787,1887431.208,1918564.062,1957418.939,1958304.86,1964263.705,1982374.367,2012985.776,2067430.321,2125278.461,2181913.658,2237657.171,2293585.087,2350479.041,2408749.546,2468540.968,2529854.36,2592588.471,2656429.519,2720368.64,2783993.4,2847075.065,2909408.559,2970847.64,3031322.859,3090794.467,3149230.591,3206625.673,3263001.694,3318430.425,3372992.44,3426749.479,3479769.51,3532165.647,3584112.873,3635782.106,3687328.879,3738892.511,3790613.018,3842648.598,3895129.355,3948161.329,4001827.125,4056201.357,4111357.371,4167309.807,4224002.588,4281324.564,4339157.747,4397404.232,4455932.841,4514582.885,4573187.787,195490679.1
GBR,1283566.496,1266977.172,1283381.087,1328177.344,1393967.424,1443221.744,1493609.12,1558587.52,1614182.837,1661613.279,1734097.322,1771985.366,1812655.922,1884236.266,1944025.953,2006911.289,2062201.71,2132878.356,2116466.201,2007036.268,2040348.136,2063146.611,2068876.445,2103266.433,2170590.648,2228596.369,2286850.01,2349268.496,2416141.744,2486609.31,2559593.868,2634143.081,2709570.556,2785454.954,2861626.601,2938100.766,3015038.198,3092687.321,3171286.42,3251034.398,3332118.133,3414720.818,3499012.886,3584914.94,3671444.215,3758108.883,3844769.652,3931342.673,4017762.47,4103948.059,4189829.981,4275394.548,4360707.689,4445841.852,4530864.464,4615836.482,4700835.744,4785981.89,4871384.546,4957155.455,5043395.593,5130211.536,5217722.54,5306002.563,5395082.85,5484952.186,5575607.495,5667074.541,5759336.332,5852324.588,5945952.069,228301646.7
GRC,,,182692.2983,179769.2215,183364.606,187214.7489,191630.0253,198600.7748,205281.0763,212300.4403,221805.9923,231115.5771,239064.5833,253274.0813,264336.0911,270362.6692,285262.9122,295355.4331,294722.3891,285479.5768,271369.97,252089.579,234492.2513,225452.3122,224699.6648,228897.2328,241078.765,253799.1286,265433.9578,276109.7907,286184.9062,295911.3652,305420.1767,314769.5399,323996.1861,333139.1556,342248.8606,351399.3622,360557.8775,369677.6912,378806.0468,387934.0062,397011.3585,405960.0644,414552.758,422718.0374,430439.4562,437719.8954,444574.9018,451029.776,457116.4838,462873.8925,468346.9805,473578.1955,478606.5711,483469.5242,488205.5323,492854.7083,497450.363,502014.4725,506563.0005,511112.1586,515681.7938,520285.7073,524925.1424,529594.4548,534289.2581,539011.4288,543762.8604,548543.4223,553354.4399,24740746.96
HUN,,,,,,120909.9985,120983.1202,124887.9889,129958.1858,134073.679,139688.1088,145029.9517,151562.8549,157357.48,164680.3045,171395.4015,178148.5019,178365.2852,179709.1056,167710.4267,169451.8011,172118.5544,169158.2178,171226.5054,174639.7099,177471.2338,180545.0143,183688.9719,186890.193,190165.0535,193527.3596,196989.1203,200565.8022,204273.8653,208082.7753,212012.2904,216082.8417,220312.092,224710.2139,229228.8321,233858.6752,238608.0156,243480.8059,248477.39,253597.6714,258840.6525,264202.7616,269677.0429,275254.0986,280922.7949,286670.7502,292486.1148,298356.9708,304269.0117,310205.4584,316149.0587,322085.9036,328007.4812,333908.8415,339789.2817,345652.0635,351505.7863,357363.2269,363237.9855,369142.4159,375089.2952,381096.2234,387185.3587,393377.9627,399689.4335,406133.19,15973922.56
IDN,370233.9275,403287.3966,429598.3422,463774.7682,498743.2411,539740.664,581937.5485,609288.0555,529308.3444,533495.9825,559744.2056,580138.2979,606241.4779,635222.0583,667179.2793,705158.9355,743949.3885,791153.1428,838730.7391,877554.5407,932172.3073,992629.4949,1054804.536,1115785.151,1179371.396,1253206.156,1327120.401,1404118.541,1485238.739,1570712.123,1660510.639,1754537.144,1852686.432,1954845.69,2060880.49,2170645.98,2284005.935,2400824.984,2520953.757,2644230.289,2770507.952,2899671.559,3031651.114,3166403.628,3303905.069,3444177.89,3587317.062,3733518.52,3883073.339,4036348.061,4193771.173,4355816.927,4522944.723,4695584.672,4874133.922,5058914.741,5250129.629,5447775.988,5651635.703,5861293.601,6076128.175,6295331.985,6517930.778,6742771.544,6968576.923,7193923.383,7417307.431,7637239.392,7852341.024,8061570.206,8264137.792,208379594.4
IND,1035471.32,1090197.934,1105792.715,1165106.207,1231299.512,1310038.064,1413867.092,1478841.05,1565757.963,1675232.697,1766696.22,1838956.746,1921654.955,2056163.326,2227475.783,2430417.517,2656237.854,2920309.965,3098305.077,3259866.734,3622118.903,3903824.33,4094437.725,4277731.382,4488013.173,4751390.612,5039874.438,5340142.414,5654611.045,5986322.429,6337715.396,6710577.029,7106167.02,7525416.056,7969024.185,8437521.017,8931324.487,9450724.845,9995793.907,10566379.64,11162211.58,11782946.37,12428143.2,13097241.56,13789558.34,14504379.41,15241070.78,15999246.97,16778700.17,17579309.17,18401048.67,19244048.84,20108534.63,20994731.62,21902830.44,22832997.96,23785430.74,24760279.98,25757520.39,26776861.03,27817822.21,28879890.16,29962561.58,31065084.7,32186274.82,33324548.02,34478186.67,35645504.14,36824685.57,38013835.61,39211023.28,901773307.4
IRL,62030.35995,63227.3223,65341.18508,67100.56782,70962.76042,77799.61245,85347.72926,94967.89333,103452.7816,114795.185,127024.967,133356.3509,140614.3831,145883.7381,152021.5373,161264.5671,170139.1189,178581.8408,174682.8811,163498.8812,161743.2562,165252.2421,165505.037,164949.5591,168026.8905,171657.9508,177317.4265,183113.7937,188612.0179,193983.0309,199457.499,205179.2515,211206.7618,217541.4567,224154.6309,230985.994,237960.3906,244932.381,251843.1895,258637.2729,265263.9786,271679.9031,277849.77,283744.6521,289342.8666,294630.0929,299599.471,304253.9946,308605.3089,312675.2817,316493.2166,320095.6394,323526.4669,326833.4475,330070.2159,333291.9303,336553.6856,339909.1373,343403.89,347072.4761,350940.7571,355028.6205,359350.0513,363906.7116,368682.2473,373648.688,378774.5133,384030.6642,389390.8684,394835.8436,400354.1551,16717992.24
