Sum of GDP,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,Grand Total
ISL,6531.131976,6516.53323,6296.672297,6379.375905,6609.598519,6617.304234,6933.946372,7274.624306,7734.143781,8050.783046,8398.952102,8728.32525,8740.4439,8953.212758,9654.767272,10352.80155,10840.31956,11489.11119,11625.60878,10862.75912,10417.51815,10694.12336,10850.57406,11204.6196,11503.3468,11866.95748,11991.9118,12110.59113,12254.42074,12429.42666,12634.0138,12864.78107,13118.48723,13392.5061,13684.83475,13993.97112,14318.91473,14659.04358,15013.68905,15381.96438,15763.02562,16156.22431,16560.73628,16974.68019,17393.03126,17811.62779,18229.35594,18645.46045,19059.33041,19470.34218,19877.94743,20281.86728,20682.25282,21079.2929,21473.1429,21863.95492,22252.05863,22638.14202,23022.9209,23407.08826,23791.26956,24176.11063,24562.3357,24950.47154,25340.82448,25733.50345,26128.6593,26526.60858,26927.60343,27331.88621,27739.81271,1098827.679
ISR,,,,,,118421.4928,124851.7495,128827.5202,134298.7414,138720.3267,150734.2982,150459.876,150356.7059,152576.7217,160051.6976,167922.4564,177658.6434,189954.7645,199454.0517,201260.0301,212309.7552,222019.803,229307.9122,237052.1561,244653.7902,253244.5874,261123.0995,269121.773,277381.9069,285918.3679,294723.627,303794.1024,313133.1884,322751.7162,332665.4414,342888.8853,353433.9779,364308.0656,375503.6918,386996.1489,398753.8167,410744.3193,422935.7398,435297.0957,447799.4436,460418.2427,473134.8297,485914.5251,498748.5462,511657.2542,524670.8766,537829.972,551183.0278,564778.6352,578665.4283,592887.1762,607479.7121,622464.6367,637847.5453,653623.2168,669780.1001,686307.5462,703200.3086,720451.7854,738052.3327,755990.9811,774263.2912,792874.5246,811829.1962,831128.5458,850773.3694,26979367.09
ITA,1346834.373,1367471.681,1377035.571,1365221.623,1396365.816,1437716.732,1452095.666,1479868.17,1499375.764,1520647.286,1579844.185,1607588.855,1614762.516,1615206.675,1640359.157,1658212.952,1695843.142,1722054.432,1702056.068,1607915.091,1634975.726,1644416.381,1605073.722,1575461.382,1583712.582,1601474.779,1629795.184,1660177.962,1690145.242,1720704.838,1753072.896,1787313.453,1823610.128,1862063.167,1902596.846,1944888.393,1988480.997,2032516.205,2076313.362,2119727.646,2162666.138,2205088.761,2246999.296,2288427.486,2329436.282,2370124.956,2410615.416,2451047.87,2491557.87,2532256.717,2573250.611,2614665.936,2656655.652,2699345.531,2742812.83,2787110.747,2832295.587,2878446.656,2925622.024,2973844.437,3023124.09,3073488.408,3125005.081,3177730.839,3231691.597,3286903.45,3343410.356,3401302.689,3460650.8,3521483.005,3583810.749,153723868.5
JPN,3276514.592,3385437.102,3413164.111,3419002.763,3448529.266,3515511.547,3607269.091,3664826.924,3591415.023,3584088.817,3665133.38,3678168.753,3688818.302,3750980.217,3839532.094,3889550.47,3955398.189,4042107.708,4000003.198,3778922.513,3954720.339,3936815.498,3993781.344,4055263.487,4102489.597,4153567.418,4180767.313,4207533.088,4239478.543,4276710.143,4318234.126,4363145.456,4410917.152,4461319.026,4514247.827,4569634.819,4627425.032,4687532.265,4749716.531,4813565.723,4878613.067,4943825.573,5007900.478,5070831.318,5132656.584,5193429.261,5253188.898,5311989.899,5369880.657,5426943.088,5483320.335,5539277.622,5595241.385,5651659.989,5708980.594,5767656.274,5828187.941,5891175.248,5957180.848,6026671.456,6100026.792,6177578.031,6259655.736,6346451.624,6436518.909,6528795.871,6622003.765,6715766.991,6809696.734,6902928.1,6995517.503,340744789.4
KOR,491489.9711,539227.7253,570315.3209,606412.8425,659606.6104,718513.8677,770145.4635,814557.6083,768014.6599,850427.3576,925246.1785,967116.2937,1038996.691,1069472.728,1121875.186,1165894.061,1226242.413,1293236.897,1329825.342,1339234.102,1426241.377,1478751.143,1512649.889,1557592.384,1619242.8,1687187.708,1748435.844,1808173.117,1867937.879,1928046.495,1988401.911,2048784.982,2108969.479,2168769.048,2228076.759,2286822.186,2344952.065,2402444.791,2459291.331,2515511.386,2571135.332,2626204.369,2680784.28,2734949.834,2788780.955,2842353.654,2895739.415,2949012.604,3002226.033,3055386.528,3108469.182,3161435.614,3214255.279,3266895.318,3319308.371,3371451.937,3423307.455,3474898.213,3526263.696,3577428.532,3628422.72,3679296.926,3730129.959,3781008.47,3831997.32,3883155.378,3934540.568,3986203.407,4038181.205,4090491.971,4143144.372,161768992.8
LUX,16304.49943,17713.89143,18036.22274,18793.86097,19511.95959,19791.40993,20092.2758,21287.65655,22668.02384,24577.64069,26646.07124,27320.32713,28438.46339,28916.98656,30190.01059,31775.21442,33332.63769,35520.25643,35258.90378,33287.40507,34320.53418,34979.91122,34922.37821,35671.30538,36658.05848,37561.86153,38908.67095,40229.36942,41439.67534,42558.47855,43619.78,44649.30219,45662.40404,46667.22356,47668.54236,48668.89311,49669.41499,50670.86919,51672.92784,52674.68732,53675.44547,54674.96945,55673.47176,56671.45677,57669.81921,58669.95754,59673.74269,60683.38217,61701.28336,62729.69067,63770.6734,64826.16306,65897.17792,66983.55353,68084.03119,69196.9417,70321.12759,71456.42419,72602.76946,73759.69795,74926.48568,76102.5877,77287.57038,78480.50105,79679.71553,80883.01684,82088.56352,83295.08954,84501.58845,85707.71644,86913.80348,3526926.423
MEX,877271.7508,914061.0229,946687.0059,965142.6054,1010653.223,952375.971,1005707.125,1078406.706,1129413.267,1159494.651,1217895.319,1213650.843,1215253.545,1232653.443,1282226.653,1323992.566,1390100.041,1433644.408,1450396.618,1385531.66,1456545.274,1514382.903,1569927.673,1590656.238,1644066.485,1711549.853,1762777.482,1811027.876,1859840.709,1910190.65,1962329.551,2016379.077,2072516.982,2130823.838,2191311.989,2254401.572,2320551.243,2390235.1,2463888.512,2541888.732,2624555.523,2712143.078,2804827.341,2902695.54,3005753.853,3113926.144,3227054.872,3344911.915,3467217.105,3593666.241,3723936.547,3857712.237,3994697.41,4134597.568,4277132.205,4422032.558,4568869.156,4716912.795,4866058.341,5016213.987,5167305.184,5319298.203,5472207.1,5626062.846,5780904.419,5936773.739,6093741.627,6251900.399,6411336.565,6572147.787,6734438.073,202100880.5
NLD,393311.5469,402952.8542,409362.1641,414536.0385,427005.3436,440893.1117,455402.5036,475158.3112,493502.352,516233.4723,536954.6383,547620.4531,548050.1213,549806.7387,561056.2326,573192.9634,592936.4948,616121.8357,627029.8271,604137.9998,613010.3685,619269.0155,611440.1266,606700.3845,612504.4418,620347.36,638637.3751,658393.7597,677593.8298,696273.3759,714784.9578,733252.3536,751675.8916,770094.4278,788516.9292,806940.894,825362.2425,843792.3099,862236.6911,880697.8084,899186.1119,917721.9984,936330.0612,955031.7656,973840.6884,992769.9474,1011835.051,1031055.576,1050447.452,1070009.722,1089737.732,1109638.143,1129730.131,1150029.72,1170541.287,1191261.862,1212190.931,1233331.056,1254677.035,1276213.266,1297916.793,1319765.943,1341739.118,1363806.588,1385930.44,1408065.935,1430175.694,1452230.407,1474199.494,1496053.477,1517766.705,61660019.68
NOR,161557.5163,166574.671,172443.2228,177248.4702,186202.1219,193997.1754,203890.676,214885.5588,220650.4872,225120.3718,232444.8068,237070.6717,240631.5466,242991.9772,252616.9495,259157.0203,265114.6187,272148.0159,272331.9597,267879.5275,269160.3913,272770.3509,280670.5152,282434.4918,288196.7801,295194.7554,305738.5867,315795.058,325343.4308,334429.1408,343111.7656,351454.7709,359523.9664,367385.2235,375102.8461,382734.8439,390332.4043,397938.1536,405580.4366,413272.426,421019.3037,428822.6887,436682.5648,444597.2327,452563.7475,460580.6045,468648.6916,476771.359,484952.3117,493191.7937,501489.9609,509850.7151,518281.4297,526788.1073,535372.2841,544033.0541,552770.4594,561586.356,570481.8213,579457.0408,588511.7943,597647.7378,606868.2255,616176.422,625575.8618,635069.9138,644664.7072,654368.3427,664186.9946,674123.6986,684179.8912,28180442.82
NZL,64186.02022,62587.24357,63201.08044,66160.56774,70603.68865,73679.09698,76438.63994,78885.42952,79572.39778,83427.35561,86667.69856,88549.66485,92871.41877,96952.77271,101200.6172,103892.4748,106244.3491,109846.4591,109108.1432,109802.8914,111800.7788,113138.1496,116449.29,119366.7656,123521.4568,127537.3442,130538.397,133536.767,136761.7438,140221.5007,143871.8487,147666.5849,151570.7669,155560.53,159621.8539,163747.5031,167935.6776,172188.4227,176507.0175,180890.4455,185337.8493,189849.7962,194429.0505,199079.1779,203803.7842,208606.5505,213490.7024,218458.8753,223511.9478,228648.0293,233864.5548,239161.0066,244540.777,250006.3929,255557.3226,261191.106,266905.4923,272700.5512,278575.7336,284529.4478,290558.9602,296661.7514,302836.646,309081.4582,315393.3597,321768.6033,328204.6405,334701.2647,341258.45,347877.6468,354562.0198,12791463.8
OECD,,,,,,27215355.16,28072582.07,29124720.71,29927048.26,30929236.29,32202410.18,32615444.36,33160201.48,33874495.88,34989144.77,35992071.81,37129575.88,38141564.16,38222710.61,36894960.37,37999116.3,38736170.86,39328759.81,39852989.33,40759176.68,41890237.14,43039481.74,44164405.37,45271903.85,46376419.82,47489187.8,48615280.55,49757828.95,50918529.31,52098402.1,53298553.91,54519162.03,55760673.22,57022138.2,58299464.03,59587406.16,60883635.94,62187121.63,63496997.93,64811291.55,66128384.12,67446165.81,68765227.51,70085257.11,71405727.35,72726260.21,74046216.47,75368244.13,76693618.67,78023348.34,79358262.34,80698139.35,82045268.67,83400893.05,84765759.01,86140271.68,87524047.93,88919125.44,90326013.28,91743005.24,93168270.95,94600031.89,96037925.13,97481398.9,98929320.05,100381663.3,3910863702
POL,311825.8744,289949.4844,297241.652,308353.4673,324674.006,347244.8773,368909.8234,395052.2868,414732.3909,433495.9121,451961.8595,457409.1936,464011.7261,481955.341,507714.5217,526078.7632,558840.291,596758.8553,627352.1926,637567.1812,662271.2108,692210.9236,705630.5285,716567.9442,737715.5775,762923.8896,785002.4361,806343.638,827236.8794,847669.1237,867567.3622,886875.6949,905577.9292,923695.8737,941288.7271,958433.6566,975218.811,991729.988,1008023.314,1024108.709,1039974.461,1055600.433,1070960.588,1086020.164,1100731.462,1115050.927,1128946.438,1142400.803,1155412.594,1167989.267,1180142.569,1191882.143,1203196.662,1214058.288,1224438.038,1234315.403,1243691.709,1252597.579,1261076.303,1269179.858,1276964.657,1284495.344,1291840.576,1299058.678,1306190.643,1313266.386,1320320.03,1327395.29,1334527.113,1341730.739,1349020.009,63609697.07
PRT,161502.1751,168556.9236,170393.3116,166911.7042,168522.1322,175739.565,182221.7195,190252.0104,200027.9178,208175.3604,216326.6416,220598.5539,222284.8837,220259.6103,223696.3905,225430.2066,228695.098,234104.5472,234084.6428,227276.6247,231677.6313,228780.5448,221389.7541,218365.8481,220831.2376,224009.1644,229058.9988,233819.8112,237761.75,241149.358,244339.3443,247614.5213,251176.113,255168.1325,259631.3543,264619.36,270179.7696,276352.185,283160.2683,290579.5109,298541.6496,306927.7305,315518.4658,324240.409,333034.203,341851.786,350654.7527,359416.5638,368118.749,376750.4316,385306.6938,393789.5672,402207.5464,410567.566,418873.7249,427129.0864,435339.6099,443516.7788,451668.7142,459796.2394,467896.9653,475970.7287,484023.5906,492059.0806,500074.0286,508061.8932,516019.8223,523953.8669,531871.5654,539782.7303,547701.169,22165390.39
RUS,,,,,,1319616.404,1272007.723,1289575.998,1220649.913,1298174.609,1428584.781,1501315.735,1572534.885,1686592.463,1807621.489,1922878.81,2079659.429,2257160.035,2375614.741,2189820.644,2288444.158,2386027.462,2468000.57,2500545.753,2512358.768,2557850.982,2656458.789,2761280.132,2860897.469,2955103.458,3046064.264,3135809.237,3225780.531,3316913.801,3409761.887,3504589.496,3601431.271,3700089.94,3800104.135,3900750.162,4001090.183,4100000.682,4196182.33,4288131.339,4374044.456,4452657.969,4522867.35,4583779.306,4634861.64,4676047.116,4707816.358,4731241.208,4747942.664,4760030.623,4770021.451,4780691.98,4794918.138,4815471.785,4844872.353,4885264.254,4938270.588,5004891.199,5085419.408,5179400.703,5285675.476,5402406.04,5527207.573,5657329.235,5789811.767,5921752.073,6050411.364,237320578.5
SVK,,,,50981.21747,54144.87236,57308.82547,61286.83697,64802.02734,67628.013,67653.53779,68579.30335,70967.22779,74219.57949,77763.58448,81696.71434,87133.80818,94405.47963,104312.3299,110310.787,104866.2651,109506.9541,112773.8246,114805.2254,115885.3429,118237.1359,121626.8475,126171.6668,131050.7991,135887.4977,140595.8094,145164.15,149591.47,153878.8143,158030.6963,162057.4193,165973.0063,169792.3898,173532.1969,177202.8982,180801.957,184322.0158,187760.8982,191114.5443,194377.7349,197544.7943,200611.7634,203576.7297,206439.6443,209203.003,211871.7591,214452.5978,216953.5154,219380.3712,221736.7133,224025.3108,226249.3837,228414.8365,230530.8367,232607.8095,234657.1764,236691.3935,238725.0254,240773.7202,242850.8178,244964.7023,247121.2009,249327.6592,251593.4198,253925.882,256327.0586,258797.296,11117556.12
SVN,32732.36595,29819.15029,28189.92172,28991.47903,30535.99646,31790.15881,32949.77612,34583.20657,35798.77845,37705.28375,39313.61427,40469.2905,42017.98982,43249.13771,45152.88124,46962.27275,49709.37909,53169.26642,54968.13694,50602.036,51238.83653,51602.04791,50289.77269,49733.28526,49898.92,50509.75305,51969.33898,53498.97151,54943.17587,56295.58466,57596.67373,58869.10558,60127.17773,61384.09751,62650.80707,63936.99902,65251.52264,66603.56214,67999.92902,69444.06309,70937.43691,72479.89326,74069.24269,75701.42097,77370.7656,79070.85283,80794.91713,82535.86313,84286.67431,86040.47537,87790.95395,89532.91203,91261.57897,92972.02019,94659.31413,96319.55995,97951.58148,99558.15813,101144.1969,102714.1867,104271.6679,105825.7362,107385.3101,108956.8221,110542.8893,112143.4706,113758.0394,115386.7936,117025.4318,118666.8915,120307.7323,4914016.535
SWE,210154.2513,207745.9364,205339.0071,201097.4909,208906.5555,217570.2182,221121.6584,227538.9677,236901.6,247346.3234,258710.6697,262331.6321,268884.7064,275531.7575,285837.8113,294858.3608,308262.4616,318826.3659,316393.1833,300644.9109,319542.5755,329136.0739,333260.1819,338281.5196,347674.3582,358595.7766,369528.9836,380653.4271,392019.2008,403602.6416,415340.1206,427157.4599,438989.1422,450787.3865,462524.0636,474188.1041,485783.9832,497325.6209,508824.5353,520286.4138,531717.3074,543125.2183,554516.1663,565891.8627,577248.3087,588580.5908,599884.1391,611155.2294,622389.8864,633580.7086,644720.8281,655809.5308,666850.5401,677844.5984,688786.8005,699668.1967,710481.2519,721221.5584,731886.1604,742479.1421,753008.6155,763489.0402,773940.1641,784384.6517,794852.285,805375.8967,815995.2879,826753.4729,837685.238,848809.4001,860134.81,34959772.32
TUR,436221.3522,440263.0029,466609.6018,504134.442,476630.565,510906.1107,546696.7157,587856.418,606032.1406,585637.0746,625310.7965,589683.861,626031.0285,658993.2234,720693.4908,781243.4038,835098.3346,874085.5631,879844.3754,837384.1837,914063.0592,994251.504,1015403.813,1056524.49,1085599.245,1128659.579,1201447.064,1276773.893,1348242.307,1416002.613,1481646.119,1546664.871,1612129.616,1678716.258,1746797.099,1816519.933,1887897.692,1960853.302,2035228.991,2110810.626,2187362.984,2264650.215,2342447.454,2420538.407,2498724.039,2576819.463,2654649.091,2732046.491,2808858.513,2884953.93,2960215.393,3034548.194,3107884.245,3180166.36,3251361.563,3321446.914,3390417.188,3458293.699,3525105.243,3590896.54,3655724.648,3719674.694,3782869.098,3845442.845,3907533.214,3969277.608,4030828.627,4092346.659,4153972.831,4215819.008,4277977.085,143746440
USA,8228971.586,8222946.186,8515293.075,8749041.799,9102217.631,9349672.99,9704550.652,10140035.29,10591296.35,11104536.25,11558810.01,11668532.09,11875764.45,12207207.45,12670818.28,13095425,13444645.23,13685293.26,13645530.22,13263170.3,13595648.19,13846806.18,14231649.86,14498952.24,14898390.04,15423341.29,15928726.78,16401208.73,16854354.14,17299338.69,17743024.72,18189111.76,18639480.8,19095176.81,19556981.03,20025622.59,20502007.85,20987133.75,21481322.77,21981213.9,22482235.6,22983846.03,23485733.75,23987555.49,24488755.99,24988765.83,25487156.55,25983742.68,26478464.86,26971186.52,27461838.64,27950684.53,28438332.01,28925352.82,29412140.98,29898935.47,30386016.23,30873747.13,31362302.1,31851655.32,32341599.47,32831958.02,33322633.33,33813350.04,34303649.32,34792848.27,35280356.67,35765757.58,36248676.59,36728931.11,37206576.14,1498538035
WLD,,,,,,,36093469.19,37573020.03,38549989.74,39957331.41,41825369.31,42695882.75,43763215.43,45240262.85,47292946.92,49335411.51,51724575.31,54279353.6,55555641.61,54942707.89,57674147.86,59879891.1,61665771.43,63408258.96,65544340.43,68077321.22,70750530.66,73424803.06,76088241.07,78758106.67,81452489.94,84182317.41,86954887.95,89774907.05,92645669.84,95570319.4,98551380.51,101592045.1,104694020.2,107855646.3,111074203.2,114349865,117683606.5,121075125.2,124520756.9,128015626.9,131552360.3,135124485.7,138723278.2,142338984.1,145962169.9,149584592.5,153203582,156817410,160426667.4,164034207.4,167644197.9,171265055.9,174904993.2,178572002.5,182273170.9,186013751,189799634.9,193632574.4,197509456.5,201423864.8,205366945,209329612.8,213301395.1,217272061,221232567.2,7361402478
ZAF,280709.6744,277851.3287,271913.5442,275267.736,284170.191,293023.9958,305643.6481,313733.484,315356.6478,322793.142,336203.7694,345400.4928,358069.1908,368628.9177,385418.2817,405757.2554,428494.7465,452266.5934,468648.1553,461495.7333,475986.5289,493118.6121,505283.2047,514836.2102,527951.073,544980.742,575266.5736,608345.9482,641774.6751,675421.9234,709685.5175,744955.196,781487.3309,819413.3626,858769.275,899526.9775,941622.3337,984966.611,1029442.887,1074908.235,1121202.012,1168151.63,1215580.122,1263300.436,1311117.932,1358840.109,1406287.426,1453306.46,1499774.711,1545604.442,1590745.229,1635189.473,1678965.565,1722126.537,1764744.758,1806901.941,1848683.433,1890163.57,1931394.839,1972406.42,2013203.662,2053775.661,2094094.962,2134104.581,2173713.823,2212806.73,2251265.283,2288980.874,2325842.667,2361736.393,2396552.608,76849154.03
Grand Total,26845682.58,27332380.28,28276934.78,29019050.22,30169706.31,67765868.21,107305401.2,111488115.2,114439302.1,118506181.6,123835045.3,126184341.5,128990764,132672451.6,138003958.4,143193876,149368580,155714702.7,158296163.6,155281176.4,161933131.6,167128185.3,171165902.5,175074491.4,180329850.5,186647973.1,193277580.5,199880500.5,206436873.8,213000237.1,219622816.5,226333384.3,233150646.5,240086079.1,247147528.5,254342299.5,261675048.9,269150372.2,276769323.2,284524322.3,292404682.9,300408485.1,308536689.9,316787806.7,325152518.2,333619396.5,342171593.6,350797003.9,359478071.7,368194824.5,376928038,385660703.7,394390364.2,403114990.9,411836809.8,420562353.1,429299808,438068486.1,446886181,455769640.8,464733459.7,473787924.5,482947215.5,492215663.8,501585484.6,511042103.7,520566266.4,530139864.1,539741721.9,549350330.1,558947597.5,19525492310
