Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Chile,"Population, male",3797232,3881891,3968340,4056504,4146315,4237596,4330363,4424289,4518464,4611702,4703148,4792552,4880087,4965911,5050356,5133766,5216197,5297873,5379509,5462056,5546243,5632226,5720099,5810519,5904224,6001655,6103043,6207998,6315483,6424019,6532457,6640398,6747792,6854152,6959036,7062089,7163054,7261830,7358467,7453148,7546045,7637058,7726202,7813920,7900802,7987253,8073485,8159356,8244468,8328264,8410313,8490472,8568890,8645811,8721602,8796511,8870613,8943758,9016000,9086000,9155000,9223000,9288000,9352000,9414000,9475000,9534000,9592000,9648000,9701000,9753000,9802000,9848000,9892000,9934000,9975000,10013000,10050000,10085000,10117000,10148000,10177000,10204000,10229000,10251000,10272000,10291000,10307000,10322000,10335000,10345000
China,"Population, male",343839501,340179667,342819197,351197134,359289719,367786712,378008633,387673867,397759563,408665290,420001834,431631246,442335153,452543013,461995352,470239739,477588355,484162022,490703734,497303725,503577431,510050546,517584727,525078211,531976602,539244515,547311204,556154832,565190587,573946550,582470121,590531742,597891229,604889315,611842204,618586032,625140432,631590489,637697691,643281642,648445282,653289427,657832960,662117402,666239967,670338757,674246565,677920041,681538500,685073651,688532785,691988818,695519169,699105548,702781045,706463193,710373422,714405303,716886000,719062000,720929000,722495000,723776000,724796000,725579000,726146000,726509000,726675000,726646000,726430000,726037000,725479000,724771000,723917000,722919000,721785000,720529000,719170000,717707000,716130000,714446000,712653000,710746000,708709000,706519000,704169000,701652000,698966000,696127000,693154000,689888000
Colombia,"Population, male",8186342,8437065,8695787,8962372,9236664,9518103,9807304,10103073,10400734,10694218,10979409,11254219,11520501,11782970,12048529,12322273,12605351,12896475,13195204,13500399,13810976,14127057,14448453,14773321,15099276,15424417,15747853,16069417,16388811,16705958,17020763,17332985,17642213,17947997,18249850,18547492,18840406,19128790,19413912,19697566,19980925,20264386,20547201,20827975,21104745,21375978,21641186,21900459,22153563,22400406,22640896,22874731,23101711,23321982,23535863,23743532,23945019,24140123,24329000,24510000,24684000,24850000,25010000,25161000,25306000,25444000,25575000,25698000,25815000,25925000,26027000,26123000,26212000,26293000,26367000,26435000,26496000,26549000,26596000,26637000,26671000,26699000,26721000,26736000,26746000,26750000,26748000,26741000,26728000,26710000,26688000
Comoros,"Population, male",95076,96587,98125,99723,101428,103273,105320,107549,109908,112302,114680,116989,119295,121795,124753,128362,132707,137706,143099,148540,153769,158701,163429,168065,172822,177830,183111,188646,194386,200311,206384,212621,219005,225523,232131,238801,245530,252306,259141,265983,272852,279722,286625,293593,300705,308013,315524,323236,331158,339285,347625,356183,364951,373891,382950,392083,401276,410534,420000,429000,439000,448000,458000,467000,477000,486000,496000,506000,516000,525000,535000,545000,555000,565000,575000,585000,595000,605000,615000,625000,635000,645000,655000,666000,676000,686000,695000,705000,715000,725000,735000
"Congo, Dem. Rep.","Population, male",7283487,7482005,7687498,7901484,8126000,8362334,8611509,8872707,9143197,9419173,9698038,9978151,10260695,10549280,10849124,11163662,11495646,11843333,12200327,12557613,12909458,13254943,13598705,13947470,14310673,14696284,15101799,15527853,15988760,16502797,17080404,17733155,18451088,19196987,19919458,20583369,21174261,21708096,22217682,22751254,23344548,24007833,24732822,25514332,26341061,27204715,28105901,29048942,30033110,31057568,32121415,33223919,34364130,35540628,36751756,37996076,39272891,40581481,41920000,43288000,44682000,46103000,47550000,49025000,50529000,52063000,53627000,55222000,56846000,58500000,60185000,61899000,63641000,65412000,67210000,69033000,70880000,72752000,74644000,76556000,78486000,80432000,82393000,84368000,86356000,88356000,90366000,92386000,94414000,96451000,98495000
"Congo, Rep.","Population, male",514635,528116,542231,556972,572320,588274,604794,621918,639796,658583,678414,699342,721312,744123,767500,791232,815243,839598,864451,890031,916503,943950,972286,1001348,1030885,1060748,1090921,1121486,1152586,1184402,1217098,1250707,1285274,1320954,1357939,1396357,1436449,1478242,1521449,1565639,1610578,1655862,1701800,1749730,1801471,1858181,1920572,1987860,2057802,2127248,2193987,2257191,2317625,2376720,2436627,2498947,2564076,2631574,2701000,2772000,2845000,2918000,2993000,3070000,3148000,3229000,3311000,3395000,3482000,3570000,3660000,3752000,3846000,3942000,4039000,4138000,4238000,4340000,4443000,4547000,4652000,4757000,4864000,4972000,5080000,5189000,5299000,5409000,5521000,5633000,5746000
Costa Rica,"Population, male",677930,702650,728283,754557,781119,807679,834197,860661,886909,912766,938153,962988,987378,1011759,1036688,1062604,1089645,1117747,1146937,1177161,1208384,1240672,1274039,1308252,1343025,1378124,1413411,1448955,1485057,1522142,1560470,1600017,1640592,1681945,1723829,1765943,1808297,1850702,1892429,1932536,1970392,2005633,2038470,2069531,2099762,2129855,2160018,2190041,2219725,2248736,2276834,2303969,2330280,2355875,2380925,2405548,2429773,2453563,2477000,2499000,2521000,2543000,2563000,2583000,2602000,2621000,2639000,2656000,2673000,2689000,2704000,2719000,2733000,2747000,2760000,2772000,2784000,2795000,2805000,2815000,2825000,2833000,2842000,2849000,2856000,2862000,2868000,2873000,2877000,2881000,2884000
Cote d'Ivoire,"Population, male",1817335,1889210,1967641,2050952,2136720,2223449,2310335,2398653,2491429,2592876,2705993,2831840,2969431,3117192,3272652,3433892,3600322,3772231,3949571,4132538,4321092,4515252,4714410,4917116,5121557,5326486,5530754,5734737,5940604,6151526,6369485,6594638,6825336,7059469,7294128,7526739,7757897,7987022,8209188,8418099,8609932,8782633,8939312,9087773,9238941,9401111,9576845,9765252,9966970,10181675,10408966,10649972,10905050,11171895,11447207,11728516,12014987,12307092,12605000,12910000,13223000,13544000,13871000,14206000,14547000,14895000,15249000,15609000,15976000,16350000,16730000,17116000,17510000,17909000,18316000,18728000,19147000,19572000,20002000,20439000,20882000,21330000,21784000,22243000,22707000,23176000,23650000,24129000,24612000,25100000,25591000
Croatia,"Population, male",1988118,2005232,2022107,2038602,2054471,2069540,2083552,2097208,2110129,2122014,2134421,2146910,2158459,2169464,2179306,2187901,2195727,2196524,2207788,2214579,2222284,2231356,2243755,2254795,2264681,2274999,2285828,2295610,2305048,2310847,2317573,2186502,2166477,2247745,2251079,2258462,2171747,2207029,2170363,2193833,2130748,2136806,2136796,2137245,2137325,2139195,2138456,2136623,2135907,2133272,2127868,2061865,2055645,2050044,2041892,2025416,2011707,1988740,1982000,1974000,1967000,1960000,1952000,1945000,1937000,1930000,1922000,1915000,1907000,1899000,1890000,1881000,1873000,1863000,1854000,1845000,1835000,1825000,1816000,1806000,1797000,1787000,1778000,1769000,1759000,1750000,1741000,1732000,1723000,1715000,1706000
Cuba,"Population, male",3648369,3720861,3799432,3881953,3965333,4047255,4126658,4203891,4279650,4355160,4431087,4507671,4583823,4657285,4725053,4785002,4836810,4881244,4918801,4950386,4977067,4998227,5014720,5030800,5052056,5082263,5123402,5173844,5229279,5283393,5331570,5372461,5407291,5437189,5464222,5489893,5514263,5536720,5557438,5576602,5594317,5610952,5626569,5640575,5652125,5660733,5665968,5668410,5669773,5672428,5677983,5687229,5699483,5713077,5725558,5735178,5741376,5744765,5746000,5747000,5748000,5749000,5751000,5752000,5753000,5753000,5753000,5752000,5751000,5748000,5743000,5738000,5731000,5722000,5712000,5702000,5690000,5677000,5663000,5649000,5633000,5616000,5599000,5580000,5561000,5541000,5519000,5497000,5473000,5449000,5423000
Curacao,"Population, male",62564,63030,63944,64905,65804,66681,67291,67990,69065,70204,71247,72500,72580,72093,72708,73011,73079,73054,72460,72169,72205,72425,73066,73505,73787,74052,73901,73177,71965,70680,69769,69107,68681,68676,68658,68735,69133,69295,68000,65530,62850,60573,60666,61953,62989,64495,65938,66946,67459,67607,68245,69076,69580,70348,71306,72278,73093,73780,74000,75000,76000,76000,77000,77000,78000,78000,79000,79000,80000,80000,81000,81000,82000,82000,82000,83000,83000,84000,84000,84000,85000,85000,85000,86000,86000,86000,87000,87000,87000,88000,88000
Cyprus,"Population, male",281665,283340,283824,283733,283951,285112,287434,290714,294703,298973,303232,307388,311535,315699,319949,324301,328850,333512,338016,341965,345128,347358,348842,350195,352206,355451,360140,366099,373085,380697,388626,396836,405363,414114,422946,431787,440540,449172,457775,466498,475424,484575,493849,503070,512006,520473,528421,535879,542863,549409,555576,561355,566746,571818,576676,581396,585992,590482,595000,599000,604000,608000,612000,616000,620000,624000,628000,631000,634000,638000,641000,644000,648000,651000,654000,657000,660000,663000,666000,669000,672000,675000,678000,680000,683000,685000,687000,690000,692000,694000,695000
Czech Republic,"Population, male",4669302,4663254,4684046,4708686,4737344,4761054,4777255,4786462,4790533,4793715,4770399,4752983,4772403,4799961,4833723,4869404,4903590,4934676,4963083,4988945,4996104,4995611,5003583,5008843,5012632,5016533,5019378,5022058,5026078,5029152,5016169,5004867,5010937,5017259,5020232,5018301,5013655,5009543,5006056,5001999,4988766,4970324,4960655,4959561,4962868,4973660,4993580,5031263,5082444,5119837,5141037,5155439,5164338,5166319,5171631,5182047,5192776,5206134,5211000,5216000,5219000,5221000,5222000,5221000,5218000,5214000,5207000,5200000,5190000,5179000,5167000,5154000,5140000,5126000,5113000,5099000,5087000,5075000,5064000,5055000,5046000,5038000,5031000,5024000,5018000,5012000,5005000,4998000,4991000,4983000,4973000
Denmark,"Population, male",2272194,2287680,2305033,2322788,2341215,2359708,2379367,2399200,2414931,2429109,2447640,2464271,2477407,2491013,2501038,2506649,2511383,2517649,2523940,2528640,2530266,2528154,2525009,2522167,2519996,2520502,2523723,2527114,2528795,2530923,2535725,2543044,2552242,2561570,2571086,2585390,2600969,2612718,2623106,2632607,2642115,2652166,2661119,2668794,2676194,2684203,2693803,2706664,2723614,2739334,2752727,2765401,2777215,2790167,2805496,2826216,2848835,2869661,2880000,2890000,2901000,2912000,2923000,2934000,2944000,2955000,2965000,2975000,2985000,2995000,3004000,3013000,3021000,3030000,3038000,3047000,3055000,3064000,3072000,3080000,3088000,3095000,3102000,3109000,3115000,3121000,3127000,3132000,3137000,3142000,3148000
Djibouti,"Population, male",41574,43993,46839,50038,53503,57185,61131,65402,69931,74631,79489,84278,89111,94716,102046,111699,124193,139094,154846,169330,181088,189254,194471,198702,204744,214504,228869,246850,266206,283669,296962,305224,309376,311149,313127,317171,323828,332464,342286,352021,360763,368327,375085,381298,387368,393629,400110,406707,413469,420419,427559,434940,442543,450266,457974,465561,472981,480249,487000,494000,502000,509000,515000,522000,529000,536000,542000,548000,555000,561000,567000,573000,578000,584000,589000,594000,599000,604000,608000,613000,617000,621000,625000,628000,632000,635000,638000,641000,644000,647000,649000
Dominican Republic,"Population, male",1667830,1724180,1781851,1840692,1900526,1961218,2022663,2084796,2147522,2210766,2274457,2338544,2402975,2467714,2532725,2597979,2663429,2729094,2795027,2861364,2928171,2995470,3063221,3131352,3199778,3268425,3337203,3406099,3475195,3544610,3614409,3684662,3755211,3825608,3895227,3963645,4030648,4096400,4161349,4226145,4291264,4356819,4422645,4488587,4554387,4619838,4684888,4749547,4813774,4877513,4940725,5003360,5065339,5126545,5186833,5246100,5304276,5361337,5417000,5472000,5526000,5578000,5630000,5680000,5729000,5777000,5824000,5870000,5914000,5958000,6000000,6040000,6079000,6117000,6153000,6189000,6223000,6256000,6287000,6318000,6346000,6373000,6399000,6423000,6446000,6467000,6486000,6505000,6521000,6537000,6551000
Ecuador,"Population, male",2272496,2339257,2408429,2480029,2554093,2630645,2709665,2791100,2874784,2960515,3048111,3137514,3228681,3321484,3415780,3511465,3608491,3706858,3806596,3907727,4010323,4114286,4219648,4326691,4435822,4547264,4661019,4776888,4894605,5013814,5134168,5255513,5377636,5500051,5622146,5743436,5863887,5983431,6101535,6217567,6331205,6442042,6550522,6658157,6767042,6878671,6993592,7111360,7231181,7351809,7472292,7592413,7712362,7832095,7951665,8071065,8190175,8308821,8427000,8544000,8660000,8776000,8890000,9003000,9114000,9225000,9334000,9442000,9548000,9653000,9756000,9858000,9958000,10057000,10154000,10250000,10343000,10435000,10525000,10613000,10699000,10784000,10866000,10947000,11025000,11102000,11177000,11249000,11320000,11389000,11456000
"Egypt, Arab Rep.","Population, male",13674538,14057564,14447443,14843817,15246510,15655115,16070338,16491336,16914413,17334748,17749456,18157283,18560899,18966274,19381688,19813545,20264467,20734345,21223594,21731802,22258917,22803170,23365597,23951886,24569586,25222572,25913897,26637592,27377320,28110983,28822442,29506613,30167248,30808092,31436425,32058508,32673725,33282421,33893439,34518021,35164259,35838831,36540661,37260757,37985527,38706636,39417464,40125077,40851002,41624805,42465972,43382700,44363443,45383448,46407408,47408940,48379865,49324992,50247000,51152000,52046000,52927000,53794000,54648000,55492000,56329000,57159000,57983000,58805000,59629000,60458000,61292000,62132000,62978000,63832000,64693000,65562000,66437000,67314000,68190000,69059000,69921000,70775000,71619000,72451000,73270000,74075000,74866000,75642000,76402000,77147000
El Salvador,"Population, male",1361749,1402853,1446302,1491611,1538124,1585308,1632895,1680759,1728792,1776888,1824934,1872761,1920146,1966845,2012645,2057336,2100881,2143206,2183928,2222600,2258970,2292885,2324583,2354709,2384164,2413647,2443210,2472781,2502705,2533358,2564895,2597542,2630996,2664201,2695772,2724641,2750515,2773589,2793943,2811807,2827447,2840835,2852064,2861636,2870221,2878350,2886273,2894056,2901916,2910034,2918538,2927559,2937189,2947472,2958409,2969971,2982221,2995117,3009000,3022000,3036000,3050000,3063000,3077000,3091000,3105000,3118000,3132000,3145000,3158000,3170000,3181000,3191000,3200000,3209000,3218000,3226000,3235000,3242000,3249000,3256000,3262000,3266000,3271000,3274000,3277000,3280000,3282000,3283000,3284000,3284000
Equatorial Guinea,"Population, male",125079,126920,128803,130907,133470,136594,140523,145033,149211,151834,152108,149746,145211,139389,133544,128665,124865,122092,120993,122273,126355,133681,143911,155780,167498,177773,186166,193047,198991,204920,211532,218937,226966,235673,245070,255193,266132,277959,290619,304007,318062,332735,348122,364459,382079,401179,421845,443922,467244,491505,516480,542085,568265,594844,621610,648409,675138,701755,728000,754000,780000,806000,832000,857000,882000,907000,932000,958000,983000,1008000,1032000,1057000,1081000,1104000,1129000,1153000,1178000,1203000,1228000,1253000,1278000,1303000,1329000,1354000,1379000,1404000,1428000,1453000,1478000,1502000,1527000
Eritrea,"Population, male",694449,712164,730803,750260,770361,791012,812163,833863,856193,879245,903118,927836,953414,979844,1007136,1035301,1064252,1094026,1124842,1157003,1190653,1225389,1260884,1297458,1335578,1375247,1417558,1461559,1502949,1535945,1556852,1563799,1559237,1549204,1542146,1544362,1557460,1580041,1611647,1650854,1696285,1748564,1807426,1869342,1929647,1985023,2034079,2077700,2117672,2156877,2197504,2239823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,"Population, male",534851,542878,552453,562478,572978,583095,591594,598346,605838,613945,622193,631124,639230,646183,652495,658327,663729,669329,674627,679068,683824,689254,694784,700144,705404,710959,717334,724185,729830,733387,733798,729162,714271,694104,677746,664904,655373,649018,644332,647619,651567,647537,642997,638205,633649,629579,625760,623061,621754,621005,620064,618663,616964,615321,614257,615225,615962,616362,615000,614000,613000,611000,610000,609000,607000,605000,603000,602000,599000,597000,595000,593000,590000,588000,585000,583000,580000,578000,576000,573000,571000,569000,567000,565000,563000,561000,559000,557000,555000,553000,551000
Ethiopia,"Population, male",11010787,11270446,11545118,11833136,12131912,12439736,12753159,13072636,13404703,13758491,14138850,14553993,14997893,15444331,15857501,16214471,16503487,16739869,16961076,17219830,17554573,17979014,18483548,19054770,19669631,20311311,20975454,21668177,22394900,23164293,23981105,24847868,25757749,26694996,27638435,28573058,29492077,30399970,31306901,32228642,33176659,34154190,35157463,36182717,37223729,38276287,39339033,40414625,41507507,42623937,43768154,44941470,46141650,47365010,48606167,49860885,51127474,52406026,53696000,54998000,56311000,57634000,58966000,60305000,61648000,62995000,64344000,65693000,67043000,68392000,69740000,71086000,72429000,73767000,75100000,76426000,77743000,79053000,80353000,81645000,82928000,84203000,85467000,86720000,87961000,89189000,90404000,91604000,92789000,93958000,95109000
Fiji,"Population, male",202612,209570,216560,223480,230198,236623,242715,248490,254011,259386,264724,270054,275370,280714,286100,291571,297035,302519,308256,314567,321608,329613,338363,347083,354705,360521,364166,365973,366803,367879,370083,373682,378367,383744,389152,394119,398600,402747,406427,409536,412019,413757,414836,415702,416964,419045,422145,426099,430546,434944,438920,442352,445366,448103,450802,453631,456609,459669,463000,466000,468000,471000,473000,476000,478000,480000,481000,483000,485000,486000,488000,489000,490000,492000,493000,494000,495000,495000,496000,497000,497000,498000,498000,498000,498000,498000,498000,498000,498000,497000,497000
Finland,"Population, male",2133537,2150143,2166164,2182698,2195800,2203775,2212409,2224499,2234439,2233099,2224767,2227891,2241675,2254998,2267319,2277714,2284699,2291055,2297554,2303444,2310808,2321101,2334755,2349481,2362922,2373684,2382312,2390024,2398003,2407846,2419886,2434684,2450097,2463754,2476114,2487162,2496757,2505481,2513341,2520374,2526845,2533897,2541375,2548804,2557584,2567723,2578967,2591348,2604831,2618718,2632137,2645773,2659804,2673532,2686143,2696641,2706157,2715886,2725000,2735000,2745000,2754000,2763000,2771000,2779000,2786000,2793000,2799000,2804000,2808000,2812000,2814000,2817000,2819000,2820000,2822000,2823000,2825000,2827000,2829000,2831000,2833000,2835000,2837000,2840000,2842000,2845000,2847000,2850000,2853000,2855000
France,"Population, male",22770030,23102631,23458805,23820553,24163544,24470766,24732942,24955667,25154981,25354809,25571596,25812274,26068931,26325424,26558373,26751791,26900312,27011843,27099874,27184145,27279364,27389088,27510080,27641999,27782626,27929877,28085392,28249352,28416254,28578630,28731195,28742173,28872028,28984052,29081135,29179286,29280159,29385102,29497512,29654613,29863225,30085762,30309625,30529202,30758439,30994423,31213961,31409817,31587991,31753829,31915279,32075614,32238069,32412358,32576964,32722418,32863056,33000438,33130000,33260000,33389000,33516000,33640000,33762000,33882000,33999000,34111000,34219000,34321000,34418000,34510000,34596000,34677000,34754000,34829000,34902000,34974000,35044000,35113000,35180000,35246000,35311000,35374000,35435000,35494000,35552000,35608000,35663000,35717000,35769000,35817000
French Polynesia,"Population, male",40149,41473,42960,44580,46259,47930,49577,51222,52907,54669,56558,58584,60725,62949,65205,67461,69696,71921,74170,76481,78884,81377,83945,86541,89126,91650,94120,96518,98843,101032,103079,104934,106646,108286,109970,111779,113749,115844,117993,120119,122142,124065,125875,127591,129204,130732,132175,133516,134772,135928,136995,137944,138806,139644,140548,141577,142770,144106,145000,147000,148000,149000,149000,150000,150000,151000,152000,152000,153000,154000,155000,156000,157000,157000,158000,158000,159000,160000,160000,160000,161000,161000,162000,162000,162000,163000,163000,163000,163000,163000,163000
Gabon,"Population, male",243638,245930,248487,251339,254586,258270,262426,267044,272030,277268,282666,288201,293910,299871,306183,312919,320104,327726,335798,344292,353214,362565,372336,382556,393246,404401,416051,428154,440645,453417,466383,479542,492908,506499,520341,534453,548923,563771,579019,594641,610674,627058,643951,661823,681272,702725,726202,751519,778556,807113,836929,868120,900385,932642,963463,991860,1017340,1040227,1061000,1082000,1103000,1124000,1146000,1169000,1191000,1213000,1235000,1257000,1279000,1301000,1324000,1346000,1368000,1391000,1413000,1436000,1459000,1482000,1504000,1527000,1550000,1573000,1596000,1619000,1641000,1664000,1687000,1709000,1731000,1753000,1775000
"Gambia, The","Population, male",180989,185751,189599,192961,196454,200529,205308,210660,216484,222601,228878,235375,242154,249086,255984,262759,269356,275934,282880,290667,299699,309964,321415,334251,348735,364950,383102,402930,423439,443304,461574,477916,492629,506240,519617,533433,547768,562571,578041,594448,611939,630692,650691,671773,693649,716120,739141,762774,787066,812138,838032,864761,892281,920528,949443,978962,1009063,1039738,1071000,1103000,1135000,1168000,1201000,1235000,1270000,1304000,1340000,1375000,1412000,1448000,1485000,1522000,1560000,1598000,1636000,1675000,1713000,1752000,1791000,1830000,1869000,1909000,1948000,1987000,2026000,2065000,2104000,2143000,2181000,2219000,2258000
Georgia,"Population, male",1698431,1727392,1755801,1783865,1811266,1837387,1860704,1881243,1900394,1919828,1939425,1960057,1979777,1996678,2013247,2027250,2040938,2053901,2065155,2080187,2098319,2116938,2137001,2158520,2180066,2202473,2225513,2247455,2273087,2281714,2282898,2299858,2317693,2334860,2310331,2248732,2191944,2151147,2129430,2111997,2094500,2077667,2061740,2033351,2005623,1979374,1954746,1931082,1909007,1887072,1864927,1842955,1821229,1799671,1777741,1774059,1775686,1774735,1772000,1769000,1765000,1760000,1755000,1750000,1744000,1739000,1733000,1726000,1719000,1712000,1705000,1697000,1688000,1680000,1671000,1662000,1653000,1644000,1635000,1627000,1618000,1610000,1602000,1594000,1586000,1578000,1570000,1562000,1554000,1546000,1537000
Germany,"Population, male",33863880,34190431,34574609,34987507,35359029,35739679,36103543,36321944,36527064,36854706,37010346,37107043,37309268,37448488,37484068,37366552,37231157,37173956,37169362,37211610,37311205,37385344,37363672,37281826,37178744,37135773,37209652,37337597,37561383,37927822,38321053,38653558,38990277,39281614,39449784,39598865,39748760,39842939,39885132,39945906,40032873,40130868,40227291,40277051,40294916,40298252,40278727,40250554,40199766,40123981,40088888,39378848,39479364,39613698,39805149,40176517,40526680,40720842,40698000,40669000,40642000,40613000,40584000,40554000,40524000,40494000,40463000,40430000,40394000,40355000,40312000,40264000,40211000,40150000,40082000,40005000,39919000,39825000,39722000,39611000,39493000,39367000,39234000,39094000,38948000,38798000,38644000,38487000,38330000,38173000,38014000
Ghana,"Population, male",3380188,3490290,3602662,3714501,3822212,3923565,4016447,4102246,4186443,4276758,4378408,4495060,4624437,4758685,4886565,5000809,5097403,5181102,5263988,5363024,5490018,5649596,5836983,6043082,6254221,6460430,6658907,6852463,7043452,7236126,7433547,7636031,7842106,8051094,8261947,8473961,8687174,8902170,9119583,9340267,9564985,9794113,10027939,10267065,10512132,10763711,11021623,11286107,11558586,11840834,12133847,12438328,12753123,13075047,13399731,13723929,14046403,14367705,14689000,15010000,15334000,15660000,15988000,16317000,16648000,16980000,17313000,17648000,17985000,18323000,18664000,19007000,19352000,19698000,20047000,20397000,20748000,21101000,21455000,21810000,22166000,22523000,22880000,23238000,23596000,23952000,24308000,24662000,25015000,25365000,25713000
Greece,"Population, male",4084091,4118064,4142725,4157406,4172005,4191943,4224479,4261412,4292180,4310906,4323477,4344573,4374940,4396858,4415392,4459884,4533136,4596358,4660335,4722581,4772522,4818367,4850621,4880897,4906691,4926612,4943069,4959150,4976560,5002411,5056261,5118959,5160613,5193875,5222667,5249369,5274299,5301659,5331701,5351792,5372190,5397438,5413400,5421621,5429843,5440414,5451272,5459608,5468843,5478648,5482062,5471420,5440422,5400333,5363922,5328008,5304981,5296295,5284000,5272000,5259000,5246000,5232000,5220000,5207000,5195000,5182000,5170000,5158000,5145000,5132000,5118000,5105000,5091000,5076000,5062000,5047000,5031000,5015000,4998000,4981000,4963000,4943000,4923000,4902000,4880000,4857000,4833000,4808000,4782000,4754000
Grenada,"Population, male",41696,42438,43094,43635,44077,44410,44628,44739,44755,44726,44673,44630,44588,44528,44386,44143,43753,43252,42827,42690,42997,43843,45142,46614,47888,48695,48923,48678,48167,47703,47512,47660,48065,48622,49172,49586,49846,49994,50075,50140,50244,50390,50561,50759,50965,51177,51383,51603,51826,52058,52296,52543,52790,53051,53318,53582,53867,54148,54000,55000,55000,55000,55000,56000,56000,56000,56000,56000,56000,56000,56000,56000,57000,57000,57000,57000,57000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,55000,55000,55000
Guam,"Population, male",39048,39485,40153,40983,41876,42754,43591,44402,45201,45979,46741,47494,48233,48954,49660,50358,51038,51717,52442,53286,54295,55489,56839,58329,59901,61506,63146,64804,66459,68068,69608,71063,72411,73672,74811,75855,76787,77604,78319,78920,79430,79848,80175,80429,80612,80746,80835,80895,80929,80972,81026,81096,81196,81357,81613,81993,82513,83158,84000,85000,85000,86000,87000,87000,88000,89000,89000,90000,90000,91000,91000,92000,92000,93000,93000,94000,94000,94000,95000,95000,95000,96000,96000,96000,96000,97000,97000,97000,97000,97000,97000
Guatemala,"Population, male",2131919,2195586,2260555,2327069,2395441,2465880,2538427,2612930,2689114,2766588,2845056,2924526,3004966,3086019,3167243,3248367,3329144,3409782,3491052,3574037,3659475,3747744,3838555,3931346,4025197,4119489,4214044,4309179,4405334,4503173,4603180,4705709,4810687,4917724,5026188,5135768,5246157,5357873,5472359,5591531,5716737,5848517,5986323,6129000,6274837,6422517,6571632,6722383,6874884,7029448,7186235,7345140,7505811,7667927,7831098,7995002,8159448,8324325,8490000,8655000,8821000,8987000,9152000,9318000,9483000,9647000,9811000,9975000,10137000,10298000,10459000,10618000,10776000,10932000,11087000,11241000,11393000,11544000,11693000,11841000,11986000,12131000,12273000,12414000,12553000,12690000,12825000,12959000,13091000,13220000,13348000
Guinea,"Population, male",1769873,1796678,1823971,1852264,1882293,1914375,1948971,1985395,2021421,2054053,2081217,2102573,2119063,2131629,2141778,2150955,2159345,2167765,2179139,2197131,2224472,2263226,2313363,2372974,2438980,2509534,2581889,2657668,2744360,2852238,2987433,3153971,3346155,3548466,3739548,3904143,4036621,4141679,4227156,4305542,4386299,4471205,4558110,4648051,4741443,4838656,4941039,5049451,5162999,5280145,5399920,5521989,5647205,5777159,5914063,6059371,6213691,6376332,6546000,6721000,6899000,7080000,7265000,7452000,7643000,7838000,8036000,8236000,8440000,8646000,8856000,9068000,9282000,9499000,9719000,9940000,10164000,10390000,10617000,10847000,11079000,11312000,11547000,11783000,12020000,12259000,12500000,12741000,12983000,13226000,13469000
Guinea-Bissau,"Population, male",304212,307615,310797,314011,317605,321809,326643,332003,337879,344226,350954,358267,366056,373558,379735,383948,385782,385680,385000,385595,388789,395089,404045,414903,426488,437928,448997,459927,470871,482137,493911,506253,518967,531751,544138,555849,566771,577074,587112,597389,608283,619921,632268,645410,659399,674286,690114,706893,724620,743230,762685,782969,804047,825756,847908,870332,892963,915800,939000,962000,986000,1009000,1033000,1057000,1082000,1106000,1131000,1156000,1181000,1206000,1231000,1257000,1283000,1309000,1336000,1362000,1389000,1416000,1444000,1472000,1499000,1527000,1555000,1583000,1612000,1640000,1668000,1697000,1725000,1753000,1782000
Guyana,"Population, male",286457,295599,304560,313131,321077,328243,334518,339978,344819,349359,353831,358229,362514,366734,370952,375160,379452,383718,387638,390743,392712,393525,393289,392034,389809,386727,382672,377825,372930,369010,366733,366477,367956,370482,373012,374780,375564,375588,375138,374668,374515,374785,375335,375958,376323,376242,375603,374553,373503,373007,373461,375006,377483,380607,383908,387050,389954,392677,395000,398000,400000,403000,405000,408000,410000,412000,414000,415000,417000,418000,420000,421000,422000,423000,423000,424000,424000,425000,425000,425000,425000,424000,424000,423000,423000,422000,421000,421000,420000,418000,417000
